"material","density","pressure","energy","velocity:0","velocity:1","velocity:2","GradW","ShepardCoeff","Points:0","Points:1","Points:2"
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.90000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.80000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.50000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.40000e-01,3.80000e-02,0.00000e+00
0,-1.14983e-03,-1.02814e+02,1.22264e-01,-2.68908e-03,-6.85072e-04,3.13514e-05,8.69765e+12,1.18047e-03,-1.30000e-01,3.80000e-02,0.00000e+00
0,-3.30555e-02,1.37085e+04,4.11794e+00,-8.30856e-02,-1.94522e-02,3.15787e-04,5.17809e+12,3.59246e-02,-1.20000e-01,3.80000e-02,0.00000e+00
0,-3.27648e-01,7.62912e+04,3.86608e+01,-7.18421e-01,-1.68283e-01,5.24182e-03,3.99525e+12,3.16176e-01,-1.10000e-01,3.80000e-02,0.00000e+00
1,-7.31017e-01,1.67419e+05,8.61551e+01,-1.54319e+00,-3.66910e-01,-3.69683e-04,4.20946e+12,6.80078e-01,-1.00000e-01,3.80000e-02,0.00000e+00
1,-6.03299e-01,6.42040e+05,8.93378e+01,-1.54098e+00,-3.79128e-01,5.67522e-03,4.01660e+12,6.84760e-01,-9.00000e-02,3.80000e-02,0.00000e+00
1,-6.00974e-01,9.25344e+05,9.93357e+01,-1.65838e+00,-4.48082e-01,3.42669e-03,4.12798e+12,7.42523e-01,-8.00000e-02,3.80000e-02,0.00000e+00
1,-4.42663e-01,1.42731e+06,1.00156e+02,-1.64372e+00,-4.68062e-01,1.13777e-03,4.08613e+12,7.43588e-01,-7.00000e-02,3.80000e-02,0.00000e+00
1,-3.21412e-01,1.84854e+06,1.02115e+02,-1.65458e+00,-4.91666e-01,1.08717e-02,4.06546e+12,7.59779e-01,-6.00000e-02,3.80000e-02,0.00000e+00
1,-2.96930e-01,2.01366e+06,1.05408e+02,-1.71144e+00,-5.27803e-01,9.01891e-03,4.15830e+12,7.98255e-01,-5.00000e-02,3.80000e-02,0.00000e+00
1,-3.08290e-01,2.03676e+06,1.07489e+02,-1.75948e+00,-5.55236e-01,4.16117e-03,4.18533e+12,8.34252e-01,-4.00000e-02,3.80000e-02,0.00000e+00
1,-3.15484e-01,2.04508e+06,1.08578e+02,-1.81303e+00,-5.77002e-01,4.01105e-03,4.13127e+12,8.69341e-01,-3.00000e-02,3.80000e-02,0.00000e+00
1,-3.19287e-01,2.03132e+06,1.08497e+02,-1.84452e+00,-5.87501e-01,1.30031e-03,4.12620e+12,8.99969e-01,-2.00000e-02,3.80000e-02,0.00000e+00
1,-3.12045e-01,1.94857e+06,1.04709e+02,-1.82769e+00,-5.78098e-01,2.71596e-03,4.04058e+12,9.05705e-01,-1.00000e-02,3.80000e-02,0.00000e+00
1,-3.04174e-01,1.96021e+06,1.04267e+02,-1.85732e+00,-5.68716e-01,-1.70124e-03,4.15866e+12,9.42658e-01,0.00000e+00,3.80000e-02,0.00000e+00
1,-3.02249e-01,1.88733e+06,1.01419e+02,-1.84931e+00,-5.31073e-01,2.37297e-04,4.18985e+12,9.61712e-01,1.00000e-02,3.80000e-02,0.00000e+00
1,-2.87300e-01,1.83553e+06,9.79063e+01,-1.83329e+00,-4.71157e-01,5.50667e-03,4.20236e+12,9.76815e-01,2.00000e-02,3.80000e-02,0.00000e+00
1,-2.68003e-01,1.73290e+06,9.20781e+01,-1.76628e+00,-3.79832e-01,-7.56321e-04,4.03299e+12,9.68469e-01,3.00000e-02,3.80000e-02,0.00000e+00
1,-2.56815e-01,1.69930e+06,8.96364e+01,-1.76441e+00,-3.14250e-01,-3.89748e-03,4.09086e+12,9.94694e-01,4.00000e-02,3.80000e-02,0.00000e+00
1,-2.38159e-01,1.61171e+06,8.44221e+01,-1.71054e+00,-2.38940e-01,1.69559e-03,4.05034e+12,9.90050e-01,5.00000e-02,3.80000e-02,0.00000e+00
1,-2.30469e-01,1.55495e+06,8.15255e+01,-1.70342e+00,-1.85176e-01,3.46798e-03,4.11209e+12,1.01190e+00,6.00000e-02,3.80000e-02,0.00000e+00
1,-2.13600e-01,1.48581e+06,7.71749e+01,-1.67460e+00,-1.44183e-01,6.16069e-04,4.20946e+12,1.01565e+00,7.00000e-02,3.80000e-02,0.00000e+00
1,-1.99314e-01,1.41928e+06,7.32019e+01,-1.65371e+00,-1.13092e-01,1.35788e-03,4.21596e+12,1.02069e+00,8.00000e-02,3.80000e-02,0.00000e+00
1,-1.86708e-01,1.33204e+06,6.86635e+01,-1.62727e+00,-9.02420e-02,1.91181e-03,4.10516e+12,1.01610e+00,9.00000e-02,3.80000e-02,0.00000e+00
1,-1.75800e-01,1.26127e+06,6.49073e+01,-1.62154e+00,-7.45087e-02,1.96230e-03,4.11299e+12,1.02006e+00,1.00000e-01,3.80000e-02,0.00000e+00
