"material","density","pressure","energy","velocity:0","velocity:1","velocity:2","GradW","ShepardCoeff","Points:0","Points:1","Points:2"
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.90000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.80000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.50000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.40000e-01,3.80000e-02,0.00000e+00
0,-9.30346e-03,1.11846e+02,1.02341e+00,-2.25196e-03,-5.86042e-04,2.86182e-05,9.06723e+12,9.89655e-04,-1.30000e-01,3.80000e-02,0.00000e+00
0,-4.01463e-01,-1.45337e+04,4.34617e+01,-8.67716e-02,-2.16020e-02,5.96468e-05,5.20411e+12,3.78635e-02,-1.20000e-01,3.80000e-02,0.00000e+00
0,-3.46536e+00,-5.41972e+04,3.77732e+02,-7.00313e-01,-1.72783e-01,3.92851e-03,4.01019e+12,3.08625e-01,-1.10000e-01,3.80000e-02,0.00000e+00
1,-7.87458e+00,-7.33162e+04,8.60151e+02,-1.53283e+00,-3.79714e-01,1.29463e-03,4.15789e+12,6.78694e-01,-1.00000e-01,3.80000e-02,0.00000e+00
1,-8.19141e+00,-3.16335e+05,8.86070e+02,-1.52850e+00,-3.76880e-01,2.51534e-04,4.02870e+12,6.78455e-01,-9.00000e-02,3.80000e-02,0.00000e+00
1,-9.21679e+00,-2.39779e+05,1.00119e+03,-1.67217e+00,-4.31780e-01,2.87162e-03,4.17287e+12,7.47606e-01,-8.00000e-02,3.80000e-02,0.00000e+00
1,-9.23503e+00,-3.26623e+05,1.00005e+03,-1.64821e+00,-4.49775e-01,-3.65491e-03,4.09799e+12,7.42191e-01,-7.00000e-02,3.80000e-02,0.00000e+00
1,-9.45087e+00,-3.98055e+05,1.02111e+03,-1.66674e+00,-4.68760e-01,7.53086e-03,4.08875e+12,7.59251e-01,-6.00000e-02,3.80000e-02,0.00000e+00
1,-9.81164e+00,-5.26094e+05,1.05601e+03,-1.72927e+00,-5.13557e-01,6.39109e-03,4.18207e+12,7.99200e-01,-5.00000e-02,3.80000e-02,0.00000e+00
1,-9.99825e+00,-6.24575e+05,1.07289e+03,-1.77171e+00,-5.40407e-01,2.61056e-03,4.18899e+12,8.32044e-01,-4.00000e-02,3.80000e-02,0.00000e+00
1,-1.01159e+01,-7.78948e+05,1.08019e+03,-1.82107e+00,-5.64985e-01,2.89589e-03,4.10528e+12,8.64520e-01,-3.00000e-02,3.80000e-02,0.00000e+00
1,-1.02386e+01,-9.70239e+05,1.08671e+03,-1.87070e+00,-5.80149e-01,1.30689e-03,4.15599e+12,9.00705e-01,-2.00000e-02,3.80000e-02,0.00000e+00
1,-9.86657e+00,-9.86482e+05,1.04536e+03,-1.85121e+00,-5.70661e-01,3.81220e-04,4.04067e+12,9.03642e-01,-1.00000e-02,3.80000e-02,0.00000e+00
1,-9.84406e+00,-9.54402e+05,1.04406e+03,-1.89287e+00,-5.70574e-01,-8.09158e-03,4.17445e+12,9.43492e-01,0.00000e+00,3.80000e-02,0.00000e+00
1,-9.47558e+00,-7.46153e+05,1.01122e+03,-1.87480e+00,-5.38940e-01,-7.14154e-04,4.16059e+12,9.58690e-01,1.00000e-02,3.80000e-02,0.00000e+00
1,-9.06755e+00,-4.94494e+05,9.75620e+02,-1.85144e+00,-4.87214e-01,3.17024e-03,4.15962e+12,9.73075e-01,2.00000e-02,3.80000e-02,0.00000e+00
1,-8.42781e+00,-1.42860e+05,9.18251e+02,-1.78004e+00,-4.04104e-01,-1.89195e-03,4.02523e+12,9.65740e-01,3.00000e-02,3.80000e-02,0.00000e+00
1,-8.11513e+00,1.72826e+05,8.95416e+02,-1.77325e+00,-3.46431e-01,-4.58423e-03,4.09641e+12,9.93787e-01,4.00000e-02,3.80000e-02,0.00000e+00
1,-7.52284e+00,5.36251e+05,8.43672e+02,-1.71299e+00,-2.75459e-01,1.02207e-03,4.05747e+12,9.89562e-01,5.00000e-02,3.80000e-02,0.00000e+00
1,-7.12744e+00,9.28316e+05,8.14537e+02,-1.69342e+00,-2.22711e-01,2.73423e-03,4.10218e+12,1.01141e+00,6.00000e-02,3.80000e-02,0.00000e+00
1,-6.62080e+00,1.25296e+06,7.70774e+02,-1.65281e+00,-1.81840e-01,2.49429e-04,4.22036e+12,1.01489e+00,7.00000e-02,3.80000e-02,0.00000e+00
1,-6.17467e+00,1.46583e+06,7.29596e+02,-1.62069e+00,-1.48322e-01,3.78296e-04,4.18287e+12,1.01787e+00,8.00000e-02,3.80000e-02,0.00000e+00
1,-5.73726e+00,1.55718e+06,6.84976e+02,-1.59334e+00,-1.22283e-01,3.23465e-03,4.09375e+12,1.01433e+00,9.00000e-02,3.80000e-02,0.00000e+00
1,-5.38741e+00,1.61767e+06,6.48832e+02,-1.59148e+00,-1.00521e-01,8.60816e-04,4.12888e+12,1.02024e+00,1.00000e-01,3.80000e-02,0.00000e+00
