"material","density","pressure","energy","velocity:0","velocity:1","velocity:2","GradW","ShepardCoeff","Points:0","Points:1","Points:2"
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.90000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.80000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.50000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.40000e-01,3.80000e-02,0.00000e+00
0,-2.09459e-03,3.00135e+02,2.40363e-01,-2.65229e-03,-6.60958e-04,3.69357e-05,8.73176e+12,1.16055e-03,-1.30000e-01,3.80000e-02,0.00000e+00
0,-7.59865e-02,-1.01669e+03,8.28891e+00,-8.34975e-02,-2.02582e-02,-1.79534e-04,5.18146e+12,3.61499e-02,-1.20000e-01,3.80000e-02,0.00000e+00
0,-6.88187e-01,4.82626e+04,7.71501e+01,-7.20092e-01,-1.63554e-01,6.02616e-03,3.99662e+12,3.15435e-01,-1.10000e-01,3.80000e-02,0.00000e+00
1,-1.53787e+00,1.06297e+05,1.72348e+02,-1.55348e+00,-3.43535e-01,2.17994e-03,4.20505e+12,6.80185e-01,-1.00000e-01,3.80000e-02,0.00000e+00
1,-1.63308e+00,-1.24933e+04,1.78482e+02,-1.55456e+00,-3.35644e-01,8.49891e-03,4.01787e+12,6.83929e-01,-9.00000e-02,3.80000e-02,0.00000e+00
1,-1.84909e+00,-1.04863e+05,1.98807e+02,-1.68513e+00,-3.84019e-01,1.24679e-02,4.13237e+12,7.42950e-01,-8.00000e-02,3.80000e-02,0.00000e+00
1,-1.79727e+00,9.20187e+04,2.00254e+02,-1.67355e+00,-3.98415e-01,-4.90151e-03,4.08786e+12,7.43372e-01,-7.00000e-02,3.80000e-02,0.00000e+00
1,-1.76636e+00,2.93965e+05,2.04175e+02,-1.68848e+00,-4.13220e-01,1.04102e-02,4.06802e+12,7.59576e-01,-6.00000e-02,3.80000e-02,0.00000e+00
1,-1.70336e+00,6.68563e+05,2.10830e+02,-1.74184e+00,-4.49805e-01,1.10881e-02,4.16070e+12,7.98325e-01,-5.00000e-02,3.80000e-02,0.00000e+00
1,-1.66898e+00,8.85418e+05,2.14911e+02,-1.78563e+00,-5.00624e-01,4.25579e-03,4.18674e+12,8.33990e-01,-4.00000e-02,3.80000e-02,0.00000e+00
1,-1.57062e+00,1.24147e+06,2.17019e+02,-1.83601e+00,-5.40167e-01,7.94728e-04,4.12850e+12,8.68827e-01,-3.00000e-02,3.80000e-02,0.00000e+00
1,-1.49671e+00,1.46524e+06,2.17018e+02,-1.85684e+00,-5.62215e-01,-1.01849e-03,4.12958e+12,9.00057e-01,-2.00000e-02,3.80000e-02,0.00000e+00
1,-1.38611e+00,1.58808e+06,2.09346e+02,-1.83339e+00,-5.63727e-01,2.58974e-03,4.04008e+12,9.05403e-01,-1.00000e-02,3.80000e-02,0.00000e+00
1,-1.35708e+00,1.65420e+06,2.08558e+02,-1.85935e+00,-5.61325e-01,-4.37287e-03,4.16063e+12,9.42779e-01,0.00000e+00,3.80000e-02,0.00000e+00
1,-1.31900e+00,1.60946e+06,2.02767e+02,-1.84587e+00,-5.28863e-01,-8.95180e-04,4.18655e+12,9.61420e-01,1.00000e-02,3.80000e-02,0.00000e+00
1,-1.27046e+00,1.56196e+06,1.95729e+02,-1.82799e+00,-4.70761e-01,4.37852e-03,4.19731e+12,9.76430e-01,2.00000e-02,3.80000e-02,0.00000e+00
1,-1.20176e+00,1.44803e+06,1.84079e+02,-1.75923e+00,-3.82487e-01,-3.55704e-04,4.03182e+12,9.68120e-01,3.00000e-02,3.80000e-02,0.00000e+00
1,-1.17397e+00,1.39848e+06,1.79241e+02,-1.75553e+00,-3.20081e-01,-3.86233e-03,4.09141e+12,9.94595e-01,4.00000e-02,3.80000e-02,0.00000e+00
1,-1.10097e+00,1.33142e+06,1.68815e+02,-1.70326e+00,-2.45868e-01,9.24814e-04,4.05093e+12,9.89956e-01,5.00000e-02,3.80000e-02,0.00000e+00
1,-1.06387e+00,1.28367e+06,1.63023e+02,-1.69516e+00,-1.92778e-01,3.37300e-03,4.11075e+12,1.01183e+00,6.00000e-02,3.80000e-02,0.00000e+00
1,-1.00006e+00,1.23657e+06,1.54326e+02,-1.66580e+00,-1.52364e-01,-1.58235e-05,4.21157e+12,1.01561e+00,7.00000e-02,3.80000e-02,0.00000e+00
1,-9.40369e-01,1.19679e+06,1.46346e+02,-1.64422e+00,-1.20950e-01,1.16739e-03,4.21266e+12,1.02040e+00,8.00000e-02,3.80000e-02,0.00000e+00
1,-8.79654e-01,1.13011e+06,1.37281e+02,-1.61774e+00,-9.77010e-02,1.76020e-03,4.10381e+12,1.01588e+00,9.00000e-02,3.80000e-02,0.00000e+00
1,-8.27192e-01,1.08231e+06,1.29802e+02,-1.61236e+00,-8.20255e-02,1.56396e-03,4.11476e+12,1.02008e+00,1.00000e-01,3.80000e-02,0.00000e+00
