"material","density","pressure","energy","velocity:0","velocity:1","velocity:2","GradW","ShepardCoeff","Points:0","Points:1","Points:2"
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.90000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.80000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.50000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.40000e-01,3.80000e-02,0.00000e+00
0,-8.67840e-03,-2.65119e+02,9.41283e-01,-2.31495e-03,-5.72309e-04,2.92344e-05,9.01967e+12,1.01120e-03,-1.30000e-01,3.80000e-02,0.00000e+00
0,-3.49621e-01,1.57158e+04,3.88762e+01,-8.66713e-02,-2.05949e-02,-1.15753e-04,5.20227e+12,3.76381e-02,-1.20000e-01,3.80000e-02,0.00000e+00
0,-3.09766e+00,4.11249e+04,3.40894e+02,-7.06469e-01,-1.64156e-01,4.11830e-03,4.00829e+12,3.09505e-01,-1.10000e-01,3.80000e-02,0.00000e+00
1,-7.04112e+00,8.46858e+04,7.74549e+02,-1.54359e+00,-3.58835e-01,6.83634e-03,4.16458e+12,6.79087e-01,-1.00000e-01,3.80000e-02,0.00000e+00
1,-7.25722e+00,8.21684e+04,7.98135e+02,-1.54124e+00,-3.53227e-01,7.72947e-03,4.02729e+12,6.79103e-01,-9.00000e-02,3.80000e-02,0.00000e+00
1,-8.26395e+00,-1.45807e+05,9.00190e+02,-1.67930e+00,-4.09509e-01,8.40601e-03,4.16730e+12,7.46961e-01,-8.00000e-02,3.80000e-02,0.00000e+00
1,-8.35253e+00,-4.12472e+05,9.00245e+02,-1.66009e+00,-4.25509e-01,1.61722e-03,4.09719e+12,7.42390e-01,-7.00000e-02,3.80000e-02,0.00000e+00
1,-8.59605e+00,-6.34163e+05,9.18905e+02,-1.67668e+00,-4.32093e-01,7.01465e-03,4.08622e+12,7.59231e-01,-6.00000e-02,3.80000e-02,0.00000e+00
1,-8.91574e+00,-7.37361e+05,9.50198e+02,-1.74936e+00,-4.65255e-01,6.87287e-03,4.17916e+12,7.99089e-01,-5.00000e-02,3.80000e-02,0.00000e+00
1,-9.08762e+00,-8.25553e+05,9.65839e+02,-1.79087e+00,-4.94613e-01,1.13612e-03,4.18964e+12,8.32323e-01,-4.00000e-02,3.80000e-02,0.00000e+00
1,-9.13794e+00,-7.86826e+05,9.72753e+02,-1.83909e+00,-5.25539e-01,-1.13648e-03,4.10824e+12,8.65076e-01,-3.00000e-02,3.80000e-02,0.00000e+00
1,-9.17864e+00,-7.68198e+05,9.77887e+02,-1.87319e+00,-5.48571e-01,3.11476e-03,4.15283e+12,9.00636e-01,-2.00000e-02,3.80000e-02,0.00000e+00
1,-8.74829e+00,-4.85661e+05,9.40960e+02,-1.84255e+00,-5.49769e-01,1.39707e-03,4.04018e+12,9.03837e-01,-1.00000e-02,3.80000e-02,0.00000e+00
1,-8.66560e+00,-2.73579e+05,9.39574e+02,-1.86755e+00,-5.56714e-01,-6.32046e-03,4.17303e+12,9.43461e-01,0.00000e+00,3.80000e-02,0.00000e+00
1,-8.32528e+00,-4.83124e+04,9.10439e+02,-1.84138e+00,-5.32770e-01,-4.75832e-05,4.16370e+12,9.59074e-01,1.00000e-02,3.80000e-02,0.00000e+00
1,-7.94171e+00,2.28876e+05,8.78443e+02,-1.81259e+00,-4.80340e-01,3.59239e-03,4.16399e+12,9.73539e-01,2.00000e-02,3.80000e-02,0.00000e+00
1,-7.38406e+00,4.85915e+05,8.26644e+02,-1.73868e+00,-3.97629e-01,-2.05201e-03,4.02578e+12,9.66009e-01,3.00000e-02,3.80000e-02,0.00000e+00
1,-7.10399e+00,7.63355e+05,8.05998e+02,-1.72836e+00,-3.36305e-01,-4.23338e-03,4.09574e+12,9.93927e-01,4.00000e-02,3.80000e-02,0.00000e+00
1,-6.60672e+00,9.79956e+05,7.59351e+02,-1.67290e+00,-2.60847e-01,1.75815e-03,4.05650e+12,9.89610e-01,5.00000e-02,3.80000e-02,0.00000e+00
1,-6.33981e+00,1.06409e+06,7.33151e+02,-1.66240e+00,-2.01982e-01,3.57512e-03,4.10304e+12,1.01146e+00,6.00000e-02,3.80000e-02,0.00000e+00
1,-5.97793e+00,1.07293e+06,6.93820e+02,-1.63556e+00,-1.54067e-01,5.73759e-04,4.22014e+12,1.01501e+00,7.00000e-02,3.80000e-02,0.00000e+00
1,-5.63858e+00,1.07981e+06,6.56887e+02,-1.61418e+00,-1.15528e-01,9.02035e-04,4.18674e+12,1.01819e+00,8.00000e-02,3.80000e-02,0.00000e+00
1,-5.28018e+00,1.05241e+06,6.16627e+02,-1.59138e+00,-8.75541e-02,3.10021e-03,4.09490e+12,1.01449e+00,9.00000e-02,3.80000e-02,0.00000e+00
1,-5.00968e+00,9.68928e+05,5.83968e+02,-1.59463e+00,-6.56523e-02,1.19948e-03,4.12718e+12,1.02021e+00,1.00000e-01,3.80000e-02,0.00000e+00
