"material","density","pressure","energy","velocity:0","velocity:1","velocity:2","GradW","ShepardCoeff","Points:0","Points:1","Points:2"
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.90000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.80000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.50000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.40000e-01,3.80000e-02,0.00000e+00
0,-4.26394e-03,-8.34499e+01,4.64173e-01,-2.56098e-03,-6.53547e-04,3.18093e-05,8.80230e+12,1.12097e-03,-1.30000e-01,3.80000e-02,0.00000e+00
0,-1.50275e-01,9.04121e+03,1.67926e+01,-8.44016e-02,-2.00676e-02,2.28450e-04,5.18767e+12,3.66080e-02,-1.20000e-01,3.80000e-02,0.00000e+00
0,-1.41762e+00,-4.78933e+04,1.53593e+02,-7.14026e-01,-1.65957e-01,3.74925e-03,3.99959e+12,3.13924e-01,-1.10000e-01,3.80000e-02,0.00000e+00
1,-3.18285e+00,-1.10359e+05,3.44745e+02,-1.54929e+00,-3.58789e-01,-1.09868e-03,4.19491e+12,6.80222e-01,-1.00000e-01,3.80000e-02,0.00000e+00
1,-3.26905e+00,-5.16582e+04,3.56315e+02,-1.54951e+00,-3.52882e-01,3.68118e-03,4.02044e+12,6.82521e-01,-9.00000e-02,3.80000e-02,0.00000e+00
1,-3.70833e+00,-2.20899e+05,3.98321e+02,-1.67441e+00,-4.09275e-01,7.76966e-03,4.14163e+12,7.44080e-01,-8.00000e-02,3.80000e-02,0.00000e+00
1,-3.80107e+00,-4.44182e+05,4.00402e+02,-1.66128e+00,-4.26050e-01,-4.01883e-03,4.09129e+12,7.43091e-01,-7.00000e-02,3.80000e-02,0.00000e+00
1,-3.94541e+00,-6.62849e+05,4.08303e+02,-1.67381e+00,-4.44883e-01,9.86831e-03,4.07307e+12,7.59340e-01,-6.00000e-02,3.80000e-02,0.00000e+00
1,-4.16724e+00,-9.61520e+05,4.21800e+02,-1.73246e+00,-4.90904e-01,7.88222e-03,4.16548e+12,7.98436e-01,-5.00000e-02,3.80000e-02,0.00000e+00
1,-4.33114e+00,-1.24014e+06,4.29676e+02,-1.77950e+00,-5.27166e-01,2.14890e-03,4.18899e+12,8.33510e-01,-4.00000e-02,3.80000e-02,0.00000e+00
1,-4.44742e+00,-1.48511e+06,4.33550e+02,-1.83392e+00,-5.59181e-01,-4.46490e-04,4.12283e+12,8.67721e-01,-3.00000e-02,3.80000e-02,0.00000e+00
1,-4.53425e+00,-1.72967e+06,4.34214e+02,-1.87283e+00,-5.77213e-01,-2.17328e-04,4.13641e+12,9.00205e-01,-2.00000e-02,3.80000e-02,0.00000e+00
1,-4.40113e+00,-1.76151e+06,4.18476e+02,-1.85415e+00,-5.73516e-01,3.84061e-04,4.03946e+12,9.04751e-01,-1.00000e-02,3.80000e-02,0.00000e+00
1,-4.39684e+00,-1.78334e+06,4.17216e+02,-1.88947e+00,-5.75769e-01,-6.39023e-03,4.16444e+12,9.42856e-01,0.00000e+00,3.80000e-02,0.00000e+00
1,-4.20850e+00,-1.54329e+06,4.05266e+02,-1.87552e+00,-5.49780e-01,-1.75585e-03,4.17993e+12,9.60682e-01,1.00000e-02,3.80000e-02,0.00000e+00
1,-3.98759e+00,-1.26478e+06,3.91141e+02,-1.85126e+00,-5.01406e-01,4.00273e-03,4.18733e+12,9.75513e-01,2.00000e-02,3.80000e-02,0.00000e+00
1,-3.66369e+00,-9.26456e+05,3.67896e+02,-1.77334e+00,-4.21248e-01,-2.07129e-04,4.02973e+12,9.67359e-01,3.00000e-02,3.80000e-02,0.00000e+00
1,-3.49257e+00,-6.71141e+05,3.58387e+02,-1.76114e+00,-3.66513e-01,-4.41533e-03,4.09249e+12,9.94310e-01,4.00000e-02,3.80000e-02,0.00000e+00
1,-3.23955e+00,-4.80585e+05,3.37560e+02,-1.70338e+00,-2.93729e-01,1.11476e-03,4.05230e+12,9.89730e-01,5.00000e-02,3.80000e-02,0.00000e+00
1,-3.10227e+00,-3.85167e+05,3.25971e+02,-1.69275e+00,-2.42242e-01,3.57254e-03,4.10828e+12,1.01163e+00,6.00000e-02,3.80000e-02,0.00000e+00
1,-2.92650e+00,-3.33670e+05,3.08576e+02,-1.66324e+00,-2.01059e-01,-5.66817e-06,4.21495e+12,1.01542e+00,7.00000e-02,3.80000e-02,0.00000e+00
1,-2.77634e+00,-3.23662e+05,2.92486e+02,-1.64116e+00,-1.67608e-01,1.40588e-03,4.20589e+12,1.01975e+00,8.00000e-02,3.80000e-02,0.00000e+00
1,-2.60959e+00,-3.18373e+05,2.74407e+02,-1.61596e+00,-1.42549e-01,2.13821e-03,4.10124e+12,1.01541e+00,9.00000e-02,3.80000e-02,0.00000e+00
1,-2.47019e+00,-3.06031e+05,2.59579e+02,-1.61139e+00,-1.25070e-01,1.14593e-03,4.11833e+12,1.02005e+00,1.00000e-01,3.80000e-02,0.00000e+00
