"material","density","pressure","energy","velocity:0","velocity:1","velocity:2","GradW","ShepardCoeff","Points:0","Points:1","Points:2"
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.90000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.80000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.50000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.40000e-01,3.80000e-02,0.00000e+00
0,-3.24192e-03,-2.17605e+01,3.54424e-01,-2.60545e-03,-6.56185e-04,3.34208e-05,8.76586e+12,1.14104e-03,-1.30000e-01,3.80000e-02,0.00000e+00
0,-1.16308e-01,-6.33812e+03,1.25143e+01,-8.41854e-02,-1.93967e-02,8.54237e-05,5.18463e+12,3.63802e-02,-1.20000e-01,3.80000e-02,0.00000e+00
0,-1.05604e+00,-6.61568e+03,1.15469e+02,-7.18603e-01,-1.63998e-01,3.55185e-03,3.99805e+12,3.14704e-01,-1.10000e-01,3.80000e-02,0.00000e+00
1,-2.35331e+00,1.95661e+04,2.58556e+02,-1.54649e+00,-3.49315e-01,6.48124e-04,4.20019e+12,6.80243e-01,-1.00000e-01,3.80000e-02,0.00000e+00
1,-2.47534e+00,-1.03349e+05,2.67478e+02,-1.56059e+00,-3.37339e-01,7.78546e-03,4.01914e+12,6.83220e-01,-9.00000e-02,3.80000e-02,0.00000e+00
1,-2.75169e+00,-8.34108e+04,2.98479e+02,-1.67896e+00,-3.84240e-01,1.23111e-02,4.13693e+12,7.43520e-01,-8.00000e-02,3.80000e-02,0.00000e+00
1,-2.79962e+00,-1.77006e+05,3.00344e+02,-1.67684e+00,-3.96100e-01,-3.37517e-03,4.08963e+12,7.43236e-01,-7.00000e-02,3.80000e-02,0.00000e+00
1,-2.88343e+00,-2.67882e+05,3.06238e+02,-1.69243e+00,-4.06024e-01,9.50781e-03,4.07052e+12,7.59440e-01,-6.00000e-02,3.80000e-02,0.00000e+00
1,-3.00610e+00,-3.61598e+05,3.16287e+02,-1.75956e+00,-4.39532e-01,1.08952e-02,4.16304e+12,7.98360e-01,-5.00000e-02,3.80000e-02,0.00000e+00
1,-3.08201e+00,-4.24994e+05,3.22310e+02,-1.80787e+00,-4.71113e-01,1.86526e-03,4.18803e+12,8.33757e-01,-4.00000e-02,3.80000e-02,0.00000e+00
1,-3.11773e+00,-4.49493e+05,3.25338e+02,-1.86114e+00,-5.05807e-01,-3.50567e-03,4.12571e+12,8.68271e-01,-3.00000e-02,3.80000e-02,0.00000e+00
1,-3.13364e+00,-4.91206e+05,3.25571e+02,-1.88434e+00,-5.31610e-01,-2.00461e-03,4.13297e+12,9.00095e-01,-2.00000e-02,3.80000e-02,0.00000e+00
1,-2.96249e+00,-2.95013e+05,3.13919e+02,-1.85430e+00,-5.42698e-01,5.51669e-04,4.03970e+12,9.05054e-01,-1.00000e-02,3.80000e-02,0.00000e+00
1,-2.90572e+00,-1.52338e+05,3.12862e+02,-1.87294e+00,-5.58423e-01,-7.51127e-03,4.16255e+12,9.42814e-01,0.00000e+00,3.80000e-02,0.00000e+00
1,-2.76831e+00,1.99967e+04,3.04043e+02,-1.84872e+00,-5.43285e-01,-1.90400e-03,4.18325e+12,9.61058e-01,1.00000e-02,3.80000e-02,0.00000e+00
1,-2.63821e+00,1.21694e+05,2.93468e+02,-1.82404e+00,-4.97540e-01,3.61212e-03,4.19232e+12,9.75978e-01,2.00000e-02,3.80000e-02,0.00000e+00
1,-2.47101e+00,1.45506e+05,2.76010e+02,-1.75247e+00,-4.15698e-01,-5.18562e-05,4.03074e+12,9.67728e-01,3.00000e-02,3.80000e-02,0.00000e+00
1,-2.40871e+00,1.35356e+05,2.68817e+02,-1.74798e+00,-3.57503e-01,-4.24903e-03,4.09195e+12,9.94442e-01,4.00000e-02,3.80000e-02,0.00000e+00
1,-2.26876e+00,1.27178e+05,2.53187e+02,-1.69786e+00,-2.83106e-01,7.26300e-04,4.05158e+12,9.89825e-01,5.00000e-02,3.80000e-02,0.00000e+00
1,-2.19470e+00,1.11324e+05,2.44498e+02,-1.69107e+00,-2.30075e-01,3.34545e-03,4.10948e+12,1.01171e+00,6.00000e-02,3.80000e-02,0.00000e+00
1,-2.07811e+00,1.03892e+05,2.31455e+02,-1.66238e+00,-1.88897e-01,-3.77625e-04,4.21342e+12,1.01551e+00,7.00000e-02,3.80000e-02,0.00000e+00
1,-1.96754e+00,1.06530e+05,2.19436e+02,-1.64059e+00,-1.55684e-01,1.11748e-03,4.20930e+12,1.02007e+00,8.00000e-02,3.80000e-02,0.00000e+00
1,-1.84382e+00,1.05885e+05,2.05856e+02,-1.61448e+00,-1.30532e-01,1.79393e-03,4.10251e+12,1.01563e+00,9.00000e-02,3.80000e-02,0.00000e+00
1,-1.73788e+00,1.18062e+05,1.94689e+02,-1.60925e+00,-1.13232e-01,1.19336e-03,4.11654e+12,1.02006e+00,1.00000e-01,3.80000e-02,0.00000e+00
