"material","density","pressure","energy","velocity:0","velocity:1","velocity:2","GradW","ShepardCoeff","Points:0","Points:1","Points:2"
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.90000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.80000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.50000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.40000e-01,3.80000e-02,0.00000e+00
0,-7.81652e-03,-6.85375e+01,8.53963e-01,-2.35419e-03,-5.72312e-04,3.22115e-05,8.97558e+12,1.03188e-03,-1.30000e-01,3.80000e-02,0.00000e+00
0,-3.22098e-01,-2.61723e+04,3.43446e+01,-8.66403e-02,-1.95470e-02,-1.24924e-04,5.20004e+12,3.74133e-02,-1.20000e-01,3.80000e-02,0.00000e+00
0,-2.79880e+00,-7.96552e+04,3.03777e+02,-7.11192e-01,-1.51349e-01,1.43177e-03,4.00646e+12,3.10313e-01,-1.10000e-01,3.80000e-02,0.00000e+00
1,-6.36715e+00,-2.45918e+05,6.88737e+02,-1.55191e+00,-3.29455e-01,-2.37460e-03,4.17115e+12,6.79363e-01,-1.00000e-01,3.80000e-02,0.00000e+00
1,-6.60263e+00,-3.72466e+05,7.09959e+02,-1.54770e+00,-3.21663e-01,7.25419e-03,4.02591e+12,6.79665e-01,-9.00000e-02,3.80000e-02,0.00000e+00
1,-7.46442e+00,-5.11333e+05,7.99358e+02,-1.69281e+00,-3.78663e-01,1.12672e-02,4.16188e+12,7.46290e-01,-8.00000e-02,3.80000e-02,0.00000e+00
1,-7.42008e+00,-3.48471e+05,8.00394e+02,-1.67188e+00,-3.94636e-01,-2.93425e-03,4.09609e+12,7.42584e-01,-7.00000e-02,3.80000e-02,0.00000e+00
1,-7.54707e+00,-2.78835e+05,8.16829e+02,-1.68183e+00,-4.13820e-01,7.53087e-03,4.08372e+12,7.59303e-01,-6.00000e-02,3.80000e-02,0.00000e+00
1,-7.72196e+00,-4.23971e+04,8.44548e+02,-1.73903e+00,-4.53898e-01,1.03243e-02,4.17641e+12,7.99073e-01,-5.00000e-02,3.80000e-02,0.00000e+00
1,-7.80296e+00,1.05012e+05,8.58757e+02,-1.77649e+00,-5.01044e-01,4.14653e-03,4.18994e+12,8.32618e-01,-4.00000e-02,3.80000e-02,0.00000e+00
1,-7.79605e+00,3.05052e+05,8.65240e+02,-1.82330e+00,-5.39289e-01,-1.76813e-03,4.11116e+12,8.65678e-01,-3.00000e-02,3.80000e-02,0.00000e+00
1,-7.78435e+00,4.48993e+05,8.69167e+02,-1.84883e+00,-5.65189e-01,-7.57661e-04,4.14964e+12,9.00634e-01,-2.00000e-02,3.80000e-02,0.00000e+00
1,-7.42940e+00,6.23301e+05,8.36584e+02,-1.81921e+00,-5.68849e-01,2.16841e-03,4.03980e+12,9.04084e-01,-1.00000e-02,3.80000e-02,0.00000e+00
1,-7.37570e+00,7.45450e+05,8.35121e+02,-1.84108e+00,-5.70057e-01,-1.28383e-03,4.17151e+12,9.43440e-01,0.00000e+00,3.80000e-02,0.00000e+00
1,-7.11815e+00,8.19689e+05,8.09588e+02,-1.81767e+00,-5.38328e-01,6.53475e-04,4.16681e+12,9.59462e-01,1.00000e-02,3.80000e-02,0.00000e+00
1,-6.83607e+00,8.88564e+05,7.81174e+02,-1.79168e+00,-4.77014e-01,3.96055e-03,4.16839e+12,9.73989e-01,2.00000e-02,3.80000e-02,0.00000e+00
1,-6.44337e+00,8.01455e+05,7.34994e+02,-1.72456e+00,-3.83794e-01,-1.80517e-03,4.02640e+12,9.66277e-01,3.00000e-02,3.80000e-02,0.00000e+00
1,-6.30145e+00,7.20831e+05,7.16526e+02,-1.72366e+00,-3.10153e-01,-4.31137e-03,4.09508e+12,9.94024e-01,4.00000e-02,3.80000e-02,0.00000e+00
1,-5.96941e+00,5.78369e+05,6.74989e+02,-1.67493e+00,-2.26540e-01,2.00951e-03,4.05560e+12,9.89603e-01,5.00000e-02,3.80000e-02,0.00000e+00
1,-5.80062e+00,4.46874e+05,6.51736e+02,-1.66937e+00,-1.63796e-01,3.52974e-03,4.10395e+12,1.01148e+00,6.00000e-02,3.80000e-02,0.00000e+00
1,-5.53570e+00,2.84113e+05,6.16820e+02,-1.64561e+00,-1.17317e-01,4.99778e-04,4.21955e+12,1.01509e+00,7.00000e-02,3.80000e-02,0.00000e+00
1,-5.31313e+00,5.41571e+04,5.84111e+02,-1.63128e+00,-8.28614e-02,1.19467e-03,4.19069e+12,1.01848e+00,8.00000e-02,3.80000e-02,0.00000e+00
1,-5.09260e+00,-2.69480e+05,5.48235e+02,-1.62003e+00,-6.09979e-02,3.10123e-03,4.09613e+12,1.01462e+00,9.00000e-02,3.80000e-02,0.00000e+00
1,-4.92813e+00,-5.77166e+05,5.19080e+02,-1.63228e+00,-4.68303e-02,1.23863e-03,4.12547e+12,1.02012e+00,1.00000e-01,3.80000e-02,0.00000e+00
