"material","density","pressure","energy","velocity:0","velocity:1","velocity:2","GradW","ShepardCoeff","Points:0","Points:1","Points:2"
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.90000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.80000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.70000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.50000e-01,3.80000e-02,0.00000e+00
0,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.40000e-01,3.80000e-02,0.00000e+00
0,-6.79004e-03,4.93864e+02,7.61846e-01,-2.39602e-03,-6.27460e-04,1.94288e-05,8.93348e+12,1.05190e-03,-1.30000e-01,3.80000e-02,0.00000e+00
0,-2.63880e-01,2.57521e+04,2.98449e+01,-8.53934e-02,-2.07861e-02,3.60076e-04,5.19840e+12,3.71618e-02,-1.20000e-01,3.80000e-02,0.00000e+00
0,-2.39347e+00,1.14405e+05,2.66389e+02,-7.05276e-01,-1.67070e-01,4.51270e-03,4.00472e+12,3.11027e-01,-1.10000e-01,3.80000e-02,0.00000e+00
1,-5.39205e+00,3.31611e+05,6.02798e+02,-1.54814e+00,-3.61078e-01,-2.96989e-03,4.17766e+12,6.79565e-01,-1.00000e-01,3.80000e-02,0.00000e+00
1,-5.42674e+00,7.52171e+05,6.21820e+02,-1.53983e+00,-3.56584e-01,6.76835e-03,4.02452e+12,6.80404e-01,-9.00000e-02,3.80000e-02,0.00000e+00
1,-6.04923e+00,9.97668e+05,6.98909e+02,-1.68010e+00,-4.20045e-01,7.68541e-03,4.15653e+12,7.45807e-01,-8.00000e-02,3.80000e-02,0.00000e+00
1,-5.95534e+00,1.32701e+06,7.00540e+02,-1.66067e+00,-4.30387e-01,5.55579e-05,4.09490e+12,7.42811e-01,-7.00000e-02,3.80000e-02,0.00000e+00
1,-5.99139e+00,1.61235e+06,7.14817e+02,-1.66704e+00,-4.53866e-01,1.31467e-02,4.08119e+12,7.59436e-01,-6.00000e-02,3.80000e-02,0.00000e+00
1,-6.19536e+00,1.66090e+06,7.38923e+02,-1.72025e+00,-4.89980e-01,1.25931e-02,4.17363e+12,7.99052e-01,-5.00000e-02,3.80000e-02,0.00000e+00
1,-6.34183e+00,1.56864e+06,7.51633e+02,-1.76169e+00,-5.27544e-01,5.96033e-03,4.18998e+12,8.32921e-01,-4.00000e-02,3.80000e-02,0.00000e+00
1,-6.42164e+00,1.49158e+06,7.57588e+02,-1.81036e+00,-5.54607e-01,2.52152e-03,4.11406e+12,8.66278e-01,-3.00000e-02,3.80000e-02,0.00000e+00
1,-6.44793e+00,1.49215e+06,7.60489e+02,-1.84036e+00,-5.69018e-01,-6.00566e-04,4.14645e+12,9.00656e-01,-2.00000e-02,3.80000e-02,0.00000e+00
1,-6.23591e+00,1.35152e+06,7.32169e+02,-1.81380e+00,-5.65269e-01,3.44853e-03,4.03952e+12,9.04327e-01,-1.00000e-02,3.80000e-02,0.00000e+00
1,-6.25744e+00,1.24473e+06,7.30663e+02,-1.84161e+00,-5.56576e-01,1.46653e-03,4.16987e+12,9.43386e-01,0.00000e+00,3.80000e-02,0.00000e+00
1,-6.13637e+00,1.00282e+06,7.08643e+02,-1.82932e+00,-5.15198e-01,3.80168e-05,4.16996e+12,9.59819e-01,1.00000e-02,3.80000e-02,0.00000e+00
1,-5.97842e+00,7.94503e+05,6.83798e+02,-1.81093e+00,-4.51514e-01,4.64731e-03,4.17289e+12,9.74396e-01,2.00000e-02,3.80000e-02,0.00000e+00
1,-5.69515e+00,5.33069e+05,6.43300e+02,-1.74805e+00,-3.59496e-01,-1.59999e-03,4.02710e+12,9.66539e-01,3.00000e-02,3.80000e-02,0.00000e+00
1,-5.61607e+00,3.22816e+05,6.27026e+02,-1.75114e+00,-2.92409e-01,-3.99440e-03,4.09440e+12,9.94096e-01,4.00000e-02,3.80000e-02,0.00000e+00
1,-5.37978e+00,3.27636e+04,5.90639e+02,-1.70345e+00,-2.16819e-01,1.87540e-03,4.05473e+12,9.89604e-01,5.00000e-02,3.80000e-02,0.00000e+00
1,-5.30761e+00,-3.10429e+05,5.70311e+02,-1.70527e+00,-1.62795e-01,3.23922e-03,4.10494e+12,1.01149e+00,6.00000e-02,3.80000e-02,0.00000e+00
1,-5.15020e+00,-6.77268e+05,5.39789e+02,-1.68894e+00,-1.23068e-01,6.31894e-04,4.21863e+12,1.01515e+00,7.00000e-02,3.80000e-02,0.00000e+00
1,-4.98126e+00,-9.53427e+05,5.11284e+02,-1.67401e+00,-9.59959e-02,1.44751e-03,4.19470e+12,1.01876e+00,8.00000e-02,3.80000e-02,0.00000e+00
1,-4.72005e+00,-1.03174e+06,4.79830e+02,-1.64955e+00,-7.94719e-02,3.02672e-03,4.09742e+12,1.01478e+00,9.00000e-02,3.80000e-02,0.00000e+00
1,-4.45993e+00,-9.52037e+05,4.54213e+02,-1.64036e+00,-6.83440e-02,1.21186e-03,4.12370e+12,1.02008e+00,1.00000e-01,3.80000e-02,0.00000e+00
