bottle.stl
Opening bottle.stl.
4.982633 11.207433 -6.143400 
5.691267 10.416500 -6.032067 
6.469067 15.222168 -6.145166 
6.298200 13.610200 -5.481467 
10.668468 23.289232 -7.513400 
9.869367 20.061632 -6.394400 
15.631733 34.390934 -9.307700 
15.301232 30.453798 -8.043567 
17.900866 44.652996 -10.331467 
19.171202 41.490433 -9.367499 
15.709834 51.204834 -9.958733 
18.522434 49.510132 -9.486800 
11.222199 54.420368 -8.875733 
14.100865 53.659939 -8.569800 
7.909800 56.017334 -8.286233 
9.699666 55.599072 -7.739467 
6.885334 57.025898 -8.552266 
7.758166 56.730732 -7.731433 
7.122066 57.746933 -9.177133 
7.740366 57.533936 -8.277500 
7.415466 58.277496 -9.578767 
8.168799 58.118633 -8.774234 
7.357900 58.651798 -9.539134 
8.249967 58.544033 -8.880700 
6.923767 58.880833 -9.049367 
7.906567 58.820171 -8.565600 
6.250467 59.068237 -8.260333 
7.226299 59.004833 -7.904001 
5.605834 59.422466 -7.482967 
6.465033 59.276997 -7.141966 
5.219333 60.105301 -6.998400 
5.916100 59.836597 -6.576833 
5.080733 61.017933 -6.816800 
5.679833 60.695965 -6.328100 
5.020733 61.914032 -6.738833 
5.605733 61.626934 -6.251167 
4.238234 62.590565 -5.776400 
5.123167 62.395802 -5.791767 
2.757600 62.856831 -3.369367 
7.381067 5.617400 -5.044067 
10.282201 5.918033 -7.773900 
11.168099 5.172033 -6.922867 
7.891966 8.638467 -6.078833 
9.525201 7.651200 -6.012834 
6.490533 11.207433 -4.634901 
7.106167 10.416500 -4.293233 
8.222366 15.222168 -4.612667 
7.705933 13.610200 -3.877367 
13.311534 23.289232 -5.626566 
11.835334 20.061632 -4.508433 
19.398499 34.390934 -6.975500 
18.207766 30.453798 -5.677400 
22.263868 44.652996 -7.761500 
22.821533 41.490433 -6.633467 
19.693634 51.204834 -7.501000 
22.164568 49.510132 -6.739534 
14.257434 54.420368 -6.690166 
17.037500 53.659939 -6.093133 
10.211700 56.017334 -6.234667 
11.890733 55.599072 -5.491200 
8.975600 57.025898 -6.423900 
9.639167 56.730701 -5.473834 
9.303834 57.746967 -6.892467 
9.666166 57.533936 -5.859600 
9.696067 58.277496 -7.199833 
10.212667 58.118633 -6.217634 
9.629066 58.651836 -7.176100 
10.321667 58.544033 -6.299667 
9.069066 58.880871 -6.813700 
9.899300 58.820236 -6.082567 
8.192200 59.068237 -6.223234 
9.052000 59.004833 -5.616633 
7.346400 59.422466 -5.636800 
8.097567 59.276997 -5.074267 
6.834033 60.105301 -5.267400 
7.404966 59.836597 -4.668233 
6.648066 61.017933 -5.127367 
7.105299 60.695965 -4.488067 
6.569134 61.914032 -5.068533 
7.012234 61.626934 -4.433333 
5.567533 62.590565 -4.363133 
6.428400 62.395802 -4.127467 
1.599067 62.928402 -1.485900 
3.524033 62.856869 -2.464200 
8.458301 5.617400 -2.825467 
11.976666 5.918033 -4.653467 
12.616000 5.172033 -3.597500 
9.224833 8.638467 -3.685467 
10.790367 7.651200 -3.177033 
7.529566 11.207433 -2.787333 
8.014934 10.416500 -2.245433 
9.360900 15.222168 -2.743167 
8.568733 13.610200 -1.994700 
14.919266 23.289232 -3.328933 
12.961133 20.061632 -2.298833 
21.614233 34.390934 -4.133900 
19.801834 30.453798 -2.903500 
24.817499 44.652996 -4.624367 
24.800766 41.490433 -3.422833 
22.068502 51.204834 -4.494733 
24.163702 49.510132 -3.507434 
16.146135 54.420368 -4.015234 
18.706133 53.659939 -3.178167 
11.730667 56.017334 -3.727300 
13.205933 55.599072 -2.848167 
10.411166 57.025898 -3.826100 
10.823499 56.730732 -2.822900 
10.818832 57.746933 -4.104133 
10.900200 57.533936 -3.020567 
11.282800 58.277496 -4.294700 
11.526567 58.118633 -3.214033 
11.211101 58.651836 -4.288533 
11.655467 58.544033 -3.265733 
10.565299 58.880871 -4.079800 
11.184300 58.820236 -3.162100 
9.547566 59.068237 -3.731033 
10.230500 59.004833 -2.925233 
8.561166 59.422466 -3.378400 
9.151234 59.276997 -2.641633 
7.959600 60.105301 -3.151300 
8.364433 59.836597 -2.423833 
7.739567 61.017933 -3.063167 
8.022733 60.695965 -2.325400 
7.647400 61.914032 -3.027766 
7.917333 61.626934 -2.296767 
6.498367 62.590565 -2.630633 
7.274133 62.395802 -2.166000 
4.038333 62.856869 -1.380333 
8.912200 5.617400 -0.409900 
12.797633 5.918033 -1.207467 
13.125533 5.172033 -0.022367 
9.886867 8.638467 -1.034167 
11.254666 7.651200 -0.120500 
8.032066 11.207433 -0.744767 
8.338433 10.416500 -0.041867 
9.877233 15.222168 -0.681867 
8.855067 13.610200 0.026300 
15.602134 23.289232 -0.798567 
13.310234 20.061632 0.070033 
22.526800 34.390934 -1.003233 
20.285067 30.453798 0.071700 
25.870333 44.652996 -1.163800 
25.408600 41.490433 0.025433 
23.072733 51.204834 -1.174067 
24.796000 49.510132 -0.031900 
16.980234 54.420368 -1.059467 
19.251600 53.659939 -0.042567 
12.433300 56.017334 -0.959267 
13.647601 55.599072 -0.007533 
11.093067 57.025928 -0.960767 
11.227534 56.730732 0.023833 
11.544368 57.746967 -1.028767 
11.324767 57.533966 0.027933 
12.046134 58.277496 -1.089167 
11.982501 58.118633 0.012633 
11.975266 58.651836 -1.100967 
12.122100 58.544033 -0.005067 
11.291066 58.880871 -1.060533 
11.637567 58.820236 -0.022167 
10.206901 59.068237 -0.977833 
10.648300 59.004833 -0.030767 
9.151767 59.422466 -0.883733 
9.524434 59.276997 -0.025667 
8.504666 60.105301 -0.814767 
8.701800 59.836597 -0.011367 
8.266433 61.017933 -0.784700 
8.343333 60.695965 -0.001400 
8.167700 61.914032 -0.775233 
8.233467 61.626934 -0.000800 
6.955833 62.590565 -0.714033 
7.579333 62.395802 -0.054167 
4.255033 62.856869 -0.200233 
8.683467 5.617400 2.033800 
12.642067 5.918033 2.321167 
12.626400 5.172033 3.554400 
9.795700 8.638467 1.687933 
10.855000 7.651200 2.944533 
7.944833 11.207433 1.348733 
8.034200 10.416500 2.164800 
9.759933 15.222168 1.426100 
8.543301 13.610200 2.045567 
15.430833 23.289232 1.786433 
12.902600 20.061632 2.434367 
22.309401 34.390934 2.196067 
19.746933 30.453798 3.042200 
25.649965 44.652996 2.376467 
24.792334 41.490433 3.472100 
22.893034 51.204834 2.227000 
24.208601 49.510132 3.446133 
16.841299 54.420368 1.968833 
18.759399 53.659939 3.096200 
12.303535 56.017334 1.874433 
13.225800 55.599072 2.833833 
10.951233 57.025928 1.970333 
10.812934 56.730732 2.869200 
11.390332 57.746967 2.116967 
10.882267 57.533966 3.074733 
11.890033 58.277496 2.190900 
11.517400 58.118633 3.238567 
11.825534 58.651836 2.161933 
11.657001 58.544033 3.256133 
11.155300 58.880871 2.031333 
11.196366 58.820236 3.119534 
10.087467 59.068237 1.842300 
10.247901 59.004833 2.866000 
9.044067 59.422466 1.671433 
9.165601 59.276997 2.592300 
8.400767 60.105301 1.577500 
8.370334 59.836597 2.402133 
8.162467 61.017933 1.547467 
8.022634 60.695965 2.322900 
8.064734 61.914032 1.530400 
7.916700 61.626934 2.295333 
6.882767 62.590534 1.251433 
7.302300 62.395733 2.061567 
4.145833 62.856831 0.993600 
7.803533 5.617400 4.336833 
11.527568 5.918033 5.689667 
11.190366 5.172033 6.885000 
8.960299 8.638467 4.293700 
9.648467 7.651200 5.805500 
7.272467 11.207433 3.349300 
7.139101 10.416500 4.221567 
9.000733 15.222168 3.435667 
7.640501 13.610200 3.923200 
14.372299 23.289232 4.248200 
11.687000 20.061632 4.629900 
20.910898 34.390934 5.243834 
18.064367 30.453798 5.801900 
24.111334 44.652996 5.752700 
22.792234 41.490433 6.678234 
21.511932 51.204834 5.474467 
22.272232 49.510132 6.685266 
15.737366 54.420368 4.861400 
17.174267 53.659939 6.020467 
11.359767 56.017334 4.578900 
11.953200 55.599072 5.478967 
10.004901 57.025898 4.765533 
9.629434 56.730701 5.515733 
10.375100 57.746967 5.116667 
9.636001 57.533936 5.908567 
10.832700 58.277496 5.319800 
10.198400 58.118633 6.240067 
10.779101 58.651836 5.275733 
10.327400 58.544033 6.291733 
10.173301 58.880871 4.983067 
